symbol,entry_date,exit_date,pnl,pnl_pct,reason,days_held,motor,entry_premium,exit_value
AMD,2026-01-02 00:00:00+00:00,2026-01-09 00:00:00+00:00,-0.0922171194059036,-0.007377369552472288,rebalance,7,hold_weekly,,
BB,2026-01-02 00:00:00+00:00,2026-01-09 00:00:00+00:00,-0.06476683937823857,-0.005181347150259086,rebalance,7,hold_weekly,,
F,2026-01-02 00:00:00+00:00,2026-01-09 00:00:00+00:00,-0.1736111111111125,-0.013888888888889,rebalance,7,hold_weekly,,
NOK,2026-01-02 00:00:00+00:00,2026-01-09 00:00:00+00:00,-0.019260400616332163,-0.001540832049306573,rebalance,7,hold_weekly,,
PLTR,2026-01-02 00:00:00+00:00,2026-01-09 00:00:00+00:00,0.04452674431753856,0.0035621395454030844,rebalance,7,hold_weekly,,
SOFI,2026-01-02 00:00:00+00:00,2026-01-09 00:00:00+00:00,-0.1443001443001446,-0.011544011544011568,rebalance,7,hold_weekly,,
TQQQ,2026-01-02 00:00:00+00:00,2026-01-09 00:00:00+00:00,0.36215168850341506,0.028972135080273204,rebalance,7,hold_weekly,,
TSLA,2026-01-02 00:00:00+00:00,2026-01-09 00:00:00+00:00,0.2641693437356576,0.021133547498852608,rebalance,7,hold_weekly,,
AMD,2026-01-09 00:00:00+00:00,2026-01-16 00:00:00+00:00,0.21481817433333283,0.0171551421551423,rebalance,7,hold_weekly,,
BB,2026-01-09 00:00:00+00:00,2026-01-16 00:00:00+00:00,-0.127776393063451,-0.010204081632653133,rebalance,7,hold_weekly,,
F,2026-01-09 00:00:00+00:00,2026-01-16 00:00:00+00:00,-0.19041550827268772,-0.015206372194062356,rebalance,7,hold_weekly,,
NOK,2026-01-09 00:00:00+00:00,2026-01-16 00:00:00+00:00,-0.11366493059199634,-0.009077155824508432,rebalance,7,hold_weekly,,
PLTR,2026-01-09 00:00:00+00:00,2026-01-16 00:00:00+00:00,-0.432088714285495,-0.03450612752018973,rebalance,7,hold_weekly,,
SOFI,2026-01-09 00:00:00+00:00,2026-01-16 00:00:00+00:00,-0.14681720201466142,-0.011724659606656683,rebalance,7,hold_weekly,,
TQQQ,2026-01-09 00:00:00+00:00,2026-01-16 00:00:00+00:00,-0.05526481730144184,-0.004413387274733447,rebalance,7,hold_weekly,,
TSLA,2026-01-09 00:00:00+00:00,2026-01-16 00:00:00+00:00,-0.030550727538667388,-0.002439747360740585,rebalance,7,hold_weekly,,
AMD,2026-01-16 00:00:00+00:00,2026-01-23 00:00:00+00:00,0.29105981045595186,0.023450124147716116,rebalance,7,hold_weekly,,
BB,2026-01-16 00:00:00+00:00,2026-01-23 00:00:00+00:00,0.0,0.0,rebalance,7,hold_weekly,,
F,2026-01-16 00:00:00+00:00,2026-01-23 00:00:00+00:00,-0.13579722653584625,-0.010940919037199234,rebalance,7,hold_weekly,,
NOK,2026-01-16 00:00:00+00:00,2026-01-23 00:00:00+00:00,0.5155698394540895,0.04153846153846155,rebalance,7,hold_weekly,,
PLTR,2026-01-16 00:00:00+00:00,2026-01-23 00:00:00+00:00,0.2768167936702337,0.022302591922844964,rebalance,7,hold_weekly,,
SOFI,2026-01-16 00:00:00+00:00,2026-01-23 00:00:00+00:00,-0.11417585133347075,-0.009198926791874151,rebalance,7,hold_weekly,,
TQQQ,2026-01-16 00:00:00+00:00,2026-01-23 00:00:00+00:00,0.11053239188461284,0.008905380333951829,rebalance,7,hold_weekly,,
TSLA,2026-01-16 00:00:00+00:00,2026-01-23 00:00:00+00:00,-0.008286362719452711,-0.0006676161652128192,rebalance,7,hold_weekly,,
AMD,2026-01-23 00:00:00+00:00,2026-01-30 00:00:00+00:00,-0.7675884114101716,-0.0612657625505591,rebalance,7,hold_weekly,,
BB,2026-01-23 00:00:00+00:00,2026-01-30 00:00:00+00:00,-0.3080860187639942,-0.02459016393442628,rebalance,7,hold_weekly,,
F,2026-01-23 00:00:00+00:00,2026-01-30 00:00:00+00:00,-0.10738998368344888,-0.008571428571428546,rebalance,7,hold_weekly,,
NOK,2026-01-23 00:00:00+00:00,2026-01-30 00:00:00+00:00,0.278861112903499,0.022257551669316443,rebalance,7,hold_weekly,,
PLTR,2026-01-23 00:00:00+00:00,2026-01-30 00:00:00+00:00,-0.43478823676219847,-0.03470301593573034,rebalance,7,hold_weekly,,
SOFI,2026-01-23 00:00:00+00:00,2026-01-30 00:00:00+00:00,-0.7971957601022339,-0.06362889983579646,rebalance,7,hold_weekly,,
TQQQ,2026-01-23 00:00:00+00:00,2026-01-30 00:00:00+00:00,-0.4560816580417715,-0.0364025695931477,rebalance,7,hold_weekly,,
TSLA,2026-01-23 00:00:00+00:00,2026-01-30 00:00:00+00:00,0.4165649973637411,0.033248511618974456,rebalance,7,hold_weekly,,
AMD,2026-01-30 00:00:00+00:00,2026-02-06 00:00:00+00:00,1.014932378455498,0.08280519480519485,rebalance,7,hold_weekly,,
BB,2026-01-30 00:00:00+00:00,2026-02-06 00:00:00+00:00,0.2530916785972437,0.020648967551622405,rebalance,7,hold_weekly,,
F,2026-01-30 00:00:00+00:00,2026-02-06 00:00:00+00:00,0.0714686206117996,0.005830903790087446,rebalance,7,hold_weekly,,
NOK,2026-01-30 00:00:00+00:00,2026-02-06 00:00:00+00:00,0.37521025821194876,0.030612244897959162,rebalance,7,hold_weekly,,
PLTR,2026-01-30 00:00:00+00:00,2026-02-06 00:00:00+00:00,0.5552877092662136,0.045304207368663967,rebalance,7,hold_weekly,,
SOFI,2026-01-30 00:00:00+00:00,2026-02-06 00:00:00+00:00,0.8817890960376733,0.07194244604316542,rebalance,7,hold_weekly,,
TQQQ,2026-01-30 00:00:00+00:00,2026-02-06 00:00:00+00:00,0.7589790487620665,0.06192275398824522,rebalance,7,hold_weekly,,
TSLA,2026-01-30 00:00:00+00:00,2026-02-06 00:00:00+00:00,0.42891788032889266,0.03499408373404506,rebalance,7,hold_weekly,,
AMD,2026-02-06 00:00:00+00:00,2026-02-13 00:00:00+00:00,0.08576805217935402,0.006700980868213928,rebalance,7,hold_weekly,,
BB,2026-02-06 00:00:00+00:00,2026-02-13 00:00:00+00:00,0.18767343135934844,0.014662756598240444,rebalance,7,hold_weekly,,
F,2026-02-06 00:00:00+00:00,2026-02-13 00:00:00+00:00,0.10970852587463575,0.008571428571428516,rebalance,7,hold_weekly,,
