symbol,entry_date,exit_date,entry_premium,exit_value,pnl,pnl_pct,reason,days_held,motor
BB,2026-05-18 00:00:00+00:00,2026-05-21 00:00:00+00:00,9.296141885311288,14.158268836069512,4.862126950758224,0.5230263275607709,tp_1.5,3,smc_daily
BB,2026-05-21 00:00:00+00:00,2026-05-22 00:00:00+00:00,10.119586795840236,38.54240031980808,28.422813523967847,2.8086930916637174,tp_1.5,1,smc_daily
BB,2026-05-22 00:00:00+00:00,2026-05-26 00:00:00+00:00,17.11698131547968,25.816341861304284,8.699360545824604,0.5082298324388173,tp_1.5,4,smc_daily
BB,2026-05-26 00:00:00+00:00,2026-05-29 00:00:00+00:00,18.445922354891533,29.021579225427494,10.575656870535962,0.5733330471127938,tp_1.5,3,smc_daily
BB,2026-05-29 00:00:00+00:00,2026-06-01 00:00:00+00:00,18.807851996680487,32.705176508574105,13.897324511893618,0.7389107759007484,tp_1.5,3,smc_daily
BB,2026-06-01 00:00:00+00:00,2026-06-02 00:00:00+00:00,20.767869798770395,32.43715891816765,11.669289119397252,0.5618914810457911,tp_1.5,1,smc_daily
BB,2026-06-02 00:00:00+00:00,2026-06-05 00:00:00+00:00,22.272927694139902,7.551256362096245,-14.721671332043657,-0.6609670508613463,sl_0.5,3,smc_daily
F,2026-06-03 00:00:00+00:00,2026-06-09 00:00:00+00:00,34.95208201047472,16.113001492318528,-18.83908051815619,-0.5389973768232275,sl_0.5,6,smc_daily
BB,2026-06-05 00:00:00+00:00,2026-06-09 00:00:00+00:00,23.182799163323935,11.38988554560794,-11.792913617715994,-0.5086923945048374,sl_0.5,4,smc_daily
BB,2026-06-09 00:00:00+00:00,2026-06-17 00:00:00+00:00,22.371819318815096,15.713461003372043,-6.658358315443053,-0.2976225679528556,anti_earnings,8,smc_daily
F,2026-06-15 00:00:00+00:00,2026-06-17 00:00:00+00:00,25.0054153331876,11.467126700243172,-13.538288632944427,-0.5414142677716769,sl_0.5,2,smc_daily
BB,2026-07-27 00:00:00+00:00,2026-07-29 00:00:00+00:00,19.24384539092002,8.939595448273389,-10.30424994264663,-0.5354569075632134,sl_0.5,2,smc_daily
BB,2026-07-29 00:00:00+00:00,2026-07-30 00:00:00+00:00,15.456064906345073,28.398274194355487,12.942209288010414,0.837354744977639,tp_1.5,1,smc_daily
BB,2026-07-30 00:00:00+00:00,2026-08-12 00:00:00+00:00,18.559609186029544,14.607840294696407,-3.9517688913331366,-0.21292306598286395,senal_exit,13,smc_daily
F,2026-08-11 00:00:00+00:00,2026-08-12 00:00:00+00:00,11.47202065957007,8.619243677674602,-2.8527769818954685,-0.2486725805811424,fin_backtest,1,smc_daily
