symbol,entry_date,exit_date,pnl,pnl_pct,reason,motor,days_held
AMD,2026-04-01 00:00:00+00:00,2026-04-08 00:00:00+00:00,1.2850244993102145,0.10280195994481715,rebalance,regime_hold_cash,7
BB,2026-04-01 00:00:00+00:00,2026-04-08 00:00:00+00:00,0.6324404761904763,0.0505952380952381,rebalance,regime_hold_cash,7
F,2026-04-01 00:00:00+00:00,2026-04-08 00:00:00+00:00,0.5351027397260264,0.04280821917808211,rebalance,regime_hold_cash,7
NOK,2026-04-01 00:00:00+00:00,2026-04-08 00:00:00+00:00,1.7684401451027814,0.14147521160822252,rebalance,regime_hold_cash,7
PLTR,2026-04-01 00:00:00+00:00,2026-04-08 00:00:00+00:00,-0.4889412246569744,-0.03911529797255795,rebalance,regime_hold_cash,7
SOFI,2026-04-01 00:00:00+00:00,2026-04-08 00:00:00+00:00,0.6877799104286595,0.055022392834292756,rebalance,regime_hold_cash,7
TQQQ,2026-04-01 00:00:00+00:00,2026-04-08 00:00:00+00:00,1.379250520471894,0.11034004163775152,rebalance,regime_hold_cash,7
TSLA,2026-04-01 00:00:00+00:00,2026-04-08 00:00:00+00:00,-1.246196821066988,-0.09969574568535905,rebalance,regime_hold_cash,7
AMD,2026-04-08 00:00:00+00:00,2026-04-15 00:00:00+00:00,1.4826920005051392,0.11345009058752481,rebalance,regime_hold_cash,7
BB,2026-04-08 00:00:00+00:00,2026-04-15 00:00:00+00:00,2.1473329370535996,0.16430594900849887,rebalance,regime_hold_cash,7
F,2026-04-08 00:00:00+00:00,2026-04-15 00:00:00+00:00,0.5686888047015426,0.04351395730706081,rebalance,regime_hold_cash,7
NOK,2026-04-08 00:00:00+00:00,2026-04-15 00:00:00+00:00,0.7614419376989989,0.05826271186440682,rebalance,regime_hold_cash,7
PLTR,2026-04-08 00:00:00+00:00,2026-04-15 00:00:00+00:00,0.1290570220066556,0.009874964478545125,rebalance,regime_hold_cash,7
SOFI,2026-04-08 00:00:00+00:00,2026-04-15 00:00:00+00:00,1.8228598435768948,0.13947847180109152,rebalance,regime_hold_cash,7
TQQQ,2026-04-08 00:00:00+00:00,2026-04-15 00:00:00+00:00,2.082889809578443,0.1593750000000001,rebalance,regime_hold_cash,7
TSLA,2026-04-08 00:00:00+00:00,2026-04-15 00:00:00+00:00,1.8542338827225588,0.14187909686817185,rebalance,regime_hold_cash,7
AMD,2026-04-15 00:00:00+00:00,2026-04-22 00:00:00+00:00,2.533865573451827,0.17565473423214004,rebalance,regime_hold_cash,7
BB,2026-04-15 00:00:00+00:00,2026-04-22 00:00:00+00:00,4.632930880718426,0.3211678832116787,rebalance,regime_hold_cash,7
F,2026-04-15 00:00:00+00:00,2026-04-22 00:00:00+00:00,-0.09079629935747491,-0.006294256490952043,rebalance,regime_hold_cash,7
NOK,2026-04-15 00:00:00+00:00,2026-04-22 00:00:00+00:00,-0.18771612290835193,-0.01301301301301301,rebalance,regime_hold_cash,7
PLTR,2026-04-15 00:00:00+00:00,2026-04-22 00:00:00+00:00,1.0624867658992905,0.07365459022159686,rebalance,regime_hold_cash,7
SOFI,2026-04-15 00:00:00+00:00,2026-04-22 00:00:00+00:00,0.20728157298100314,0.014369345396487451,rebalance,regime_hold_cash,7
TQQQ,2026-04-15 00:00:00+00:00,2026-04-22 00:00:00+00:00,1.182016082578789,0.08194070080862552,rebalance,regime_hold_cash,7
TSLA,2026-04-15 00:00:00+00:00,2026-04-22 00:00:00+00:00,-0.1634090153036336,-0.011327975507079981,rebalance,regime_hold_cash,7
AMD,2026-04-22 00:00:00+00:00,2026-04-29 00:00:00+00:00,1.7267824164451024,0.11088776115468282,rebalance,regime_hold_cash,7
BB,2026-04-22 00:00:00+00:00,2026-04-29 00:00:00+00:00,-0.14339175405318727,-0.009208103130755011,rebalance,regime_hold_cash,7
F,2026-04-22 00:00:00+00:00,2026-04-29 00:00:00+00:00,-0.4808562431645864,-0.030878859857482177,rebalance,regime_hold_cash,7
NOK,2026-04-22 00:00:00+00:00,2026-04-29 00:00:00+00:00,4.106297735746269,0.26369168356997985,rebalance,regime_hold_cash,7
PLTR,2026-04-22 00:00:00+00:00,2026-04-29 00:00:00+00:00,-1.4947899802193803,-0.0959900406237715,rebalance,regime_hold_cash,7
SOFI,2026-04-22 00:00:00+00:00,2026-04-29 00:00:00+00:00,-2.888155182202148,-0.18546694648478482,rebalance,regime_hold_cash,7
TQQQ,2026-04-22 00:00:00+00:00,2026-04-29 00:00:00+00:00,0.4267458629594856,0.02740408570004967,rebalance,regime_hold_cash,7
TSLA,2026-04-22 00:00:00+00:00,2026-04-29 00:00:00+00:00,-0.5911310352003607,-0.03796031070165923,rebalance,regime_hold_cash,7
AMD,2026-04-29 00:00:00+00:00,2026-05-06 00:00:00+00:00,3.91387415178734,0.2500074159769807,rebalance,regime_hold_cash,7
BB,2026-04-29 00:00:00+00:00,2026-05-06 00:00:00+00:00,1.7750129466182578,0.11338289962825278,rebalance,regime_hold_cash,7
F,2026-04-29 00:00:00+00:00,2026-05-06 00:00:00+00:00,-0.08953041300980757,-0.005718954248365939,rebalance,regime_hold_cash,7
NOK,2026-04-29 00:00:00+00:00,2026-05-06 00:00:00+00:00,0.9171888859495994,0.058587479935794363,rebalance,regime_hold_cash,7
PLTR,2026-04-29 00:00:00+00:00,2026-05-06 00:00:00+00:00,-0.474291763934545,-0.030296441255345335,rebalance,regime_hold_cash,7
SOFI,2026-04-29 00:00:00+00:00,2026-05-06 00:00:00+00:00,0.781491141303011,0.04991948470209349,rebalance,regime_hold_cash,7
TQQQ,2026-04-29 00:00:00+00:00,2026-05-06 00:00:00+00:00,2.4573288527968593,0.1569673456191398,rebalance,regime_hold_cash,7
TSLA,2026-04-29 00:00:00+00:00,2026-05-06 00:00:00+00:00,1.0888813986195096,0.0695547210300429,rebalance,regime_hold_cash,7
AMD,2026-05-06 00:00:00+00:00,2026-05-13 00:00:00+00:00,0.9698741765431187,0.05721540615581774,rebalance,regime_hold_cash,7
BB,2026-05-06 00:00:00+00:00,2026-05-13 00:00:00+00:00,0.311292225033462,0.018363939899832885,rebalance,regime_hold_cash,7
F,2026-05-06 00:00:00+00:00,2026-05-13 00:00:00+00:00,1.9500236043405046,0.11503697617091195,rebalance,regime_hold_cash,7
NOK,2026-05-06 00:00:00+00:00,2026-05-13 00:00:00+00:00,1.9534450689121883,0.1152388172858227,rebalance,regime_hold_cash,7
PLTR,2026-05-06 00:00:00+00:00,2026-05-13 00:00:00+00:00,-0.4738603374715247,-0.027954256670902084,rebalance,regime_hold_cash,7
SOFI,2026-05-06 00:00:00+00:00,2026-05-13 00:00:00+00:00,-1.029556064512521,-0.06073619631901841,rebalance,regime_hold_cash,7
TQQQ,2026-05-06 00:00:00+00:00,2026-05-13 00:00:00+00:00,1.3429333299222748,0.07922313818639105,rebalance,regime_hold_cash,7
TSLA,2026-05-06 00:00:00+00:00,2026-05-13 00:00:00+00:00,1.9785629719088575,0.11672058786647593,rebalance,regime_hold_cash,7
AMD,2026-05-13 00:00:00+00:00,2026-05-20 00:00:00+00:00,0.0832308894686804,0.004668911335577995,rebalance,regime_hold_cash,7
BB,2026-05-13 00:00:00+00:00,2026-05-20 00:00:00+00:00,0.2922396063863282,0.016393442622950883,rebalance,regime_hold_cash,7
F,2026-05-13 00:00:00+00:00,2026-05-20 00:00:00+00:00,-0.45978744261960713,-0.025792188651436936,rebalance,regime_hold_cash,7
NOK,2026-05-13 00:00:00+00:00,2026-05-20 00:00:00+00:00,-1.3209389142506396,-0.07409925220938146,rebalance,regime_hold_cash,7
PLTR,2026-05-13 00:00:00+00:00,2026-05-20 00:00:00+00:00,0.9732331682115962,0.0545943867743175,rebalance,regime_hold_cash,7
