symbol,entry_date,exit_date,entry_premium,exit_value,pnl,pnl_pct,reason,days_held,motor
F,2026-06-17 00:00:00+00:00,2026-06-23 00:00:00+00:00,17.151087588993015,6.646643722384398,-10.504443866608618,-0.6124651752901089,sl_0.5,6,put_choch
F,2026-06-23 00:00:00+00:00,2026-06-29 00:00:00+00:00,13.938122402567277,5.248498368083333,-8.689624034483945,-0.6234429418472744,sl_0.5,6,put_choch
NOK,2026-07-16 00:00:00+00:00,2026-07-20 00:00:00+00:00,15.533407924039548,5.034906006512741,-10.498501917526806,-0.6758659766656416,sl_0.5,4,put_choch
NOK,2026-07-24 00:00:00+00:00,2026-07-28 00:00:00+00:00,13.471990261684455,5.487363087722479,-7.984627173961976,-0.5926835618840202,sl_0.5,4,put_choch
BB,2026-07-27 00:00:00+00:00,2026-07-29 00:00:00+00:00,13.81395245427307,3.181597524408786,-10.632354929864283,-0.7696823168502637,sl_0.5,2,put_choch
