symbol,entry_date,exit_date,entry_premium,exit_value,pnl,pnl_pct,reason,days_held,motor
BB,2026-05-18 00:00:00+00:00,2026-05-21 00:00:00+00:00,9.296141885311288,14.158268836069512,4.862126950758224,0.5230263275607709,tp_1.4,3,smc_daily
F,2026-05-19 00:00:00+00:00,2026-05-21 00:00:00+00:00,24.909178054057666,35.88809723182045,10.978919177762787,0.4407579870333914,tp_1.4,2,smc_daily
BB,2026-05-21 00:00:00+00:00,2026-05-22 00:00:00+00:00,10.119586795840236,38.54240031980808,28.422813523967847,2.8086930916637174,tp_1.4,1,smc_daily
BB,2026-05-22 00:00:00+00:00,2026-05-26 00:00:00+00:00,17.11698131547968,25.816341861304284,8.699360545824604,0.5082298324388173,tp_1.4,4,smc_daily
F,2026-05-27 00:00:00+00:00,2026-05-28 00:00:00+00:00,33.42500536370839,47.88366534848601,14.458659984777626,0.43257016199244336,tp_1.4,1,smc_daily
BB,2026-05-26 00:00:00+00:00,2026-05-29 00:00:00+00:00,18.445922354891533,29.021579225427494,10.575656870535962,0.5733330471127938,tp_1.4,3,smc_daily
F,2026-05-28 00:00:00+00:00,2026-05-29 00:00:00+00:00,35.20995001034681,49.98115480851704,14.771204798170231,0.41951791450512027,tp_1.4,1,smc_daily
BB,2026-05-29 00:00:00+00:00,2026-06-01 00:00:00+00:00,18.807851996680487,32.705176508574105,13.897324511893618,0.7389107759007484,tp_1.4,3,smc_daily
BB,2026-06-01 00:00:00+00:00,2026-06-02 00:00:00+00:00,20.767869798770395,32.43715891816765,11.669289119397252,0.5618914810457911,tp_1.4,1,smc_daily
BB,2026-06-02 00:00:00+00:00,2026-06-05 00:00:00+00:00,22.272927694139902,7.551256362096245,-14.721671332043657,-0.6609670508613463,sl_0.4,3,smc_daily
F,2026-06-03 00:00:00+00:00,2026-06-10 00:00:00+00:00,34.95208201047472,8.16186696447627,-26.79021504599845,-0.7664840977990881,sl_0.4,7,smc_daily
BB,2026-06-05 00:00:00+00:00,2026-06-16 00:00:00+00:00,23.182799163323935,9.200730726610905,-13.98206843671303,-0.6031225279660444,sl_0.4,11,smc_daily
F,2026-06-10 00:00:00+00:00,2026-06-23 00:00:00+00:00,33.09793256104104,10.168527712843856,-22.929404848197187,-0.6927745352646878,sl_0.4,13,smc_daily
BB,2026-06-16 00:00:00+00:00,2026-06-24 00:00:00+00:00,23.390070506060745,8.501616689121084,-14.888453816939661,-0.6365288130739847,sl_0.4,8,smc_daily
SOFI,2026-07-08 00:00:00+00:00,2026-07-09 00:00:00+00:00,23.5148981876371,41.69067106661892,18.175772878981817,0.772947122030819,tp_1.4,1,smc_daily
SOFI,2026-07-09 00:00:00+00:00,2026-07-15 00:00:00+00:00,26.199203391121877,9.98068260744684,-16.21852078367504,-0.6190463328809077,sl_0.4,6,smc_daily
BB,2026-07-07 00:00:00+00:00,2026-07-16 00:00:00+00:00,28.416799166024994,1.9668246024458491,-26.449974563579143,-0.9307865537228635,sl_0.4,9,smc_daily
SOFI,2026-07-15 00:00:00+00:00,2026-07-20 00:00:00+00:00,24.402310349294517,8.34580678880461,-16.056503560489908,-0.6579911217690955,sl_0.4,5,smc_daily
SOFI,2026-07-20 00:00:00+00:00,2026-07-21 00:00:00+00:00,22.51794619653028,34.787908658613844,12.269962462083566,0.5448970503346441,tp_1.4,1,smc_daily
SOFI,2026-07-21 00:00:00+00:00,2026-07-23 00:00:00+00:00,22.771565366240853,7.829445881220396,-14.942119485020458,-0.6561744546192836,sl_0.4,2,smc_daily
BB,2026-07-16 00:00:00+00:00,2026-07-27 00:00:00+00:00,18.82488238225564,4.778723183244716,-14.046159199010926,-0.7461485768564936,sl_0.4,11,smc_daily
BB,2026-07-27 00:00:00+00:00,2026-08-12 00:00:00+00:00,19.24384539092002,9.95032763903472,-9.293517751885298,-0.4829345467652913,senal_exit,16,smc_daily
F,2026-08-11 00:00:00+00:00,2026-08-12 00:00:00+00:00,11.47202065957007,8.619243677674602,-2.8527769818954685,-0.2486725805811424,fin_backtest,1,smc_daily
