date,equity,open_positions,peak
2026-06-01 00:00:00+00:00,100.0,0,100.0
2026-06-02 00:00:00+00:00,100.0,0,100.0
2026-06-03 00:00:00+00:00,100.0,0,100.0
2026-06-04 00:00:00+00:00,100.0,0,100.0
2026-06-05 00:00:00+00:00,100.0,0,100.0
2026-06-08 00:00:00+00:00,100.0,0,100.0
2026-06-09 00:00:00+00:00,100.0,0,100.0
2026-06-10 00:00:00+00:00,100.0,0,100.0
2026-06-11 00:00:00+00:00,100.0,0,100.0
2026-06-12 00:00:00+00:00,100.0,0,100.0
2026-06-15 00:00:00+00:00,100.0,0,100.0
2026-06-16 00:00:00+00:00,100.0,0,100.0
2026-06-17 00:00:00+00:00,100.0,0,100.0
2026-06-18 00:00:00+00:00,100.0,0,100.0
2026-06-22 00:00:00+00:00,100.0,0,100.0
2026-06-23 00:00:00+00:00,100.0,0,100.0
2026-06-24 00:00:00+00:00,100.0,0,100.0
2026-06-25 00:00:00+00:00,100.0,0,100.0
2026-06-26 00:00:00+00:00,100.0,0,100.0
2026-06-29 00:00:00+00:00,100.0,0,100.0
2026-06-30 00:00:00+00:00,100.0,0,100.0
2026-07-01 00:00:00+00:00,100.0,0,100.0
2026-07-02 00:00:00+00:00,100.0,0,100.0
2026-07-06 00:00:00+00:00,100.0,1,100.0
2026-07-07 00:00:00+00:00,100.0,1,100.0
2026-07-08 00:00:00+00:00,100.0,1,100.0
2026-07-09 00:00:00+00:00,100.0,1,100.0
2026-07-10 00:00:00+00:00,100.0,1,100.0
2026-07-13 00:00:00+00:00,79.44,0,100.0
2026-07-14 00:00:00+00:00,79.44,0,100.0
2026-07-15 00:00:00+00:00,79.44,0,100.0
2026-07-16 00:00:00+00:00,79.44,0,100.0
2026-07-17 00:00:00+00:00,79.44,0,100.0
2026-07-20 00:00:00+00:00,79.44,0,100.0
2026-07-21 00:00:00+00:00,79.44,0,100.0
2026-07-22 00:00:00+00:00,79.44,0,100.0
2026-07-23 00:00:00+00:00,79.44,0,100.0
2026-07-24 00:00:00+00:00,79.44,0,100.0
2026-07-27 00:00:00+00:00,79.44,0,100.0
2026-07-28 00:00:00+00:00,79.44,0,100.0
2026-07-29 00:00:00+00:00,79.44,0,100.0
2026-07-30 00:00:00+00:00,79.44,1,100.0
2026-07-31 00:00:00+00:00,79.44,1,100.0
2026-08-03 00:00:00+00:00,79.44,1,100.0
2026-08-04 00:00:00+00:00,79.44,1,100.0
2026-08-05 00:00:00+00:00,79.44,1,100.0
2026-08-06 00:00:00+00:00,79.44,1,100.0
2026-08-07 00:00:00+00:00,79.44,1,100.0
2026-08-10 00:00:00+00:00,79.44,1,100.0
2026-08-11 00:00:00+00:00,79.44,1,100.0
2026-08-12 00:00:00+00:00,79.44,1,100.0
