symbol,entry_date,exit_date,entry_premium,exit_value,pnl,pnl_pct,reason,days_held,motor
BB,2026-05-18 00:00:00+00:00,2026-05-21 00:00:00+00:00,11.823386678147672,18.22493110525084,3.8015444271031664,0.3215275394933409,tp_1.5,3,smc_daily
BB,2026-05-21 00:00:00+00:00,2026-05-22 00:00:00+00:00,12.871860702056654,53.986524446469915,38.51466374441326,2.992159768964826,tp_1.5,1,smc_daily
BB,2026-07-28 00:00:00+00:00,2026-08-04 00:00:00+00:00,20.70052290771253,39.761122457835945,16.460599550123415,0.7951779587167135,tp_1.5,7,smc_daily
F,2026-08-11 00:00:00+00:00,2026-08-12 00:00:00+00:00,14.577996174340457,10.769441462705984,-6.408554711634473,-0.43960463667253025,fin_backtest,1,smc_daily
