symbol,entry_date,exit_date,entry_premium,exit_value,pnl,pnl_pct,reason,days_held,motor
BB,2026-05-18 00:00:00+00:00,2026-05-21 00:00:00+00:00,9.296141885311288,14.158268836069512,4.862126950758224,0.5230263275607709,tp_1.5,3,smc_daily
BB,2026-05-21 00:00:00+00:00,2026-05-22 00:00:00+00:00,10.119586795840236,38.54240031980808,28.422813523967847,2.8086930916637174,tp_1.5,1,smc_daily
BB,2026-05-22 00:00:00+00:00,2026-05-26 00:00:00+00:00,17.11698131547968,25.816341861304284,8.699360545824604,0.5082298324388173,tp_1.5,4,smc_daily
BB,2026-05-26 00:00:00+00:00,2026-05-29 00:00:00+00:00,18.445922354891533,29.021579225427494,10.575656870535962,0.5733330471127938,tp_1.5,3,smc_daily
BB,2026-05-29 00:00:00+00:00,2026-06-01 00:00:00+00:00,18.807851996680487,32.705176508574105,13.897324511893618,0.7389107759007484,tp_1.5,3,smc_daily
BB,2026-06-01 00:00:00+00:00,2026-06-02 00:00:00+00:00,20.767869798770395,32.43715891816765,11.669289119397252,0.5618914810457911,tp_1.5,1,smc_daily
BB,2026-06-02 00:00:00+00:00,2026-06-09 00:00:00+00:00,22.272927694139902,1.8728465875730398,-20.400081106566862,-0.9159137670048741,sl_0.1,7,smc_daily
F,2026-06-03 00:00:00+00:00,2026-06-16 00:00:00+00:00,34.95208201047472,2.905942007229442,-32.04614000324528,-0.9168592587314666,sl_0.1,13,smc_daily
BB,2026-06-09 00:00:00+00:00,2026-06-25 00:00:00+00:00,22.371819318815096,50.00988663826213,27.638067319447035,1.2353965015354353,tp_1.5,16,smc_daily
F,2026-06-16 00:00:00+00:00,2026-06-29 00:00:00+00:00,24.297528276029716,5.705789059013503,-18.59173921701621,-0.7651699796706298,senal_exit,13,smc_daily
SOFI,2026-07-08 00:00:00+00:00,2026-07-09 00:00:00+00:00,23.5148981876371,41.69067106661892,18.175772878981817,0.772947122030819,tp_1.5,1,smc_daily
BB,2026-07-09 00:00:00+00:00,2026-07-16 00:00:00+00:00,30.06874599801042,1.9194170480522734,-28.149328949958146,-0.9361657101304033,sl_0.1,7,smc_daily
SOFI,2026-07-10 00:00:00+00:00,2026-07-16 00:00:00+00:00,24.851838661194865,3.480188280518123,-21.37165038067674,-0.8599625432965531,sl_0.1,6,smc_daily
BB,2026-07-16 00:00:00+00:00,2026-07-28 00:00:00+00:00,18.82488238225564,2.4149078569067552,-16.409974525348886,-0.8717172406249375,sl_0.1,12,smc_daily
BB,2026-07-28 00:00:00+00:00,2026-08-04 00:00:00+00:00,16.26301163011571,30.992704750064064,14.729693119948355,0.9057174313687405,tp_1.5,7,smc_daily
F,2026-08-11 00:00:00+00:00,2026-08-12 00:00:00+00:00,11.47202065957007,8.619243677674602,-2.8527769818954685,-0.2486725805811424,fin_backtest,1,smc_daily
