symbol,entry_date,exit_date,entry_premium,exit_value,pnl,pnl_pct,reason,days_held,motor
BB,2026-05-18 00:00:00+00:00,2026-05-21 00:00:00+00:00,11.823386678147672,18.22493110525084,6.4015444271031665,0.5414306916760734,tp_1.5,3,smc_daily
BB,2026-05-21 00:00:00+00:00,2026-05-22 00:00:00+00:00,12.871860702056654,53.986524446469915,41.114663744413264,3.194150767794123,tp_1.5,1,smc_daily
BB,2026-05-22 00:00:00+00:00,2026-05-26 00:00:00+00:00,21.792347768911878,33.07227591597764,11.279928147065764,0.5176095878552963,tp_1.5,4,smc_daily
BB,2026-05-26 00:00:00+00:00,2026-05-29 00:00:00+00:00,23.485191094787332,37.43066967211946,13.945478577332125,0.5937988122407657,tp_1.5,3,smc_daily
BB,2026-05-29 00:00:00+00:00,2026-06-01 00:00:00+00:00,23.942492516009228,42.44968723149962,18.50719471549039,0.772985298131157,tp_1.5,3,smc_daily
BB,2026-06-01 00:00:00+00:00,2026-06-02 00:00:00+00:00,26.439398286760063,42.13033799748452,15.690939710724454,0.5934681092414246,tp_1.5,1,smc_daily
BB,2026-06-02 00:00:00+00:00,2026-06-05 00:00:00+00:00,28.356363538719172,9.09672523100257,-19.259638307716603,-0.6791998657168626,sl_0.5,3,smc_daily
BB,2026-06-05 00:00:00+00:00,2026-06-09 00:00:00+00:00,26.96014488322972,12.895414715583293,-14.064730167646427,-0.5216860008936839,sl_0.5,4,smc_daily
BB,2026-06-09 00:00:00+00:00,2026-06-17 00:00:00+00:00,24.98267090293348,17.160334562473338,-7.822336340460144,-0.3131104905017037,anti_earnings,8,smc_daily
BB,2026-07-27 00:00:00+00:00,2026-07-29 00:00:00+00:00,24.504482596133364,10.940559080836312,-13.563923515297052,-0.5535282559868187,sl_0.5,2,smc_daily
BB,2026-07-29 00:00:00+00:00,2026-07-30 00:00:00+00:00,19.672508781690716,37.25784690596246,17.585338124271743,0.8939041949056589,tp_1.5,1,smc_daily
BB,2026-07-30 00:00:00+00:00,2026-08-12 00:00:00+00:00,23.63022055647986,16.909386010623873,-6.720834545855986,-0.2844169198417831,senal_exit,13,smc_daily
F,2026-08-11 00:00:00+00:00,2026-08-12 00:00:00+00:00,14.577996174340457,10.769441462705984,-3.808554711634473,-0.2612536500961718,fin_backtest,1,smc_daily
