date,equity,open_positions,peak
2026-02-17 00:00:00+00:00,100.0,0,100.0
2026-02-18 00:00:00+00:00,100.0,0,100.0
2026-02-19 00:00:00+00:00,100.0,1,100.0
2026-02-20 00:00:00+00:00,100.0,1,100.0
2026-02-23 00:00:00+00:00,100.0,1,100.0
2026-02-24 00:00:00+00:00,100.0,1,100.0
2026-02-25 00:00:00+00:00,100.0,1,100.0
2026-02-26 00:00:00+00:00,100.0,2,100.0
2026-02-27 00:00:00+00:00,100.0,2,100.0
2026-03-02 00:00:00+00:00,102.93,1,102.93
2026-03-03 00:00:00+00:00,93.64,1,102.93
2026-03-04 00:00:00+00:00,93.64,2,102.93
2026-03-05 00:00:00+00:00,93.64,2,102.93
2026-03-06 00:00:00+00:00,78.17,1,102.93
2026-03-09 00:00:00+00:00,78.17,2,102.93
2026-03-10 00:00:00+00:00,78.17,2,102.93
2026-03-11 00:00:00+00:00,78.17,2,102.93
2026-03-12 00:00:00+00:00,78.17,2,102.93
2026-03-13 00:00:00+00:00,74.34,1,102.93
2026-03-16 00:00:00+00:00,74.34,2,102.93
2026-03-17 00:00:00+00:00,74.34,2,102.93
2026-03-18 00:00:00+00:00,74.34,2,102.93
2026-03-19 00:00:00+00:00,68.14,2,102.93
2026-03-20 00:00:00+00:00,65.74,2,102.93
2026-03-23 00:00:00+00:00,67.59,2,102.93
2026-03-24 00:00:00+00:00,67.59,2,102.93
2026-03-25 00:00:00+00:00,67.59,2,102.93
2026-03-26 00:00:00+00:00,67.59,2,102.93
2026-03-27 00:00:00+00:00,57.63,1,102.93
2026-03-30 00:00:00+00:00,57.63,1,102.93
2026-03-31 00:00:00+00:00,57.63,1,102.93
2026-04-01 00:00:00+00:00,57.63,1,102.93
2026-04-02 00:00:00+00:00,76.8,0,102.93
2026-04-06 00:00:00+00:00,76.8,0,102.93
2026-04-07 00:00:00+00:00,76.8,0,102.93
2026-04-08 00:00:00+00:00,76.8,0,102.93
2026-04-09 00:00:00+00:00,76.8,0,102.93
2026-04-10 00:00:00+00:00,76.8,0,102.93
2026-04-13 00:00:00+00:00,76.8,0,102.93
2026-04-14 00:00:00+00:00,76.8,0,102.93
2026-04-15 00:00:00+00:00,76.8,0,102.93
2026-04-16 00:00:00+00:00,76.8,0,102.93
2026-04-17 00:00:00+00:00,76.8,0,102.93
2026-04-20 00:00:00+00:00,76.8,0,102.93
2026-04-21 00:00:00+00:00,76.8,0,102.93
2026-04-22 00:00:00+00:00,76.8,1,102.93
2026-04-23 00:00:00+00:00,76.8,1,102.93
2026-04-24 00:00:00+00:00,76.8,1,102.93
2026-04-27 00:00:00+00:00,76.8,1,102.93
2026-04-28 00:00:00+00:00,76.8,1,102.93
2026-04-29 00:00:00+00:00,68.03,1,102.93
2026-04-30 00:00:00+00:00,68.03,2,102.93
2026-05-01 00:00:00+00:00,68.03,2,102.93
