date,equity,open_positions,peak
2026-05-18 00:00:00+00:00,100.0,1,100.0
2026-05-19 00:00:00+00:00,100.0,1,100.0
2026-05-20 00:00:00+00:00,100.0,1,100.0
2026-05-21 00:00:00+00:00,100.0,1,100.0
2026-05-22 00:00:00+00:00,149.37,1,149.37
2026-05-26 00:00:00+00:00,149.37,1,149.37
2026-05-27 00:00:00+00:00,168.5,1,168.5
2026-05-28 00:00:00+00:00,168.5,1,168.5
2026-05-29 00:00:00+00:00,168.5,1,168.5
2026-06-01 00:00:00+00:00,197.92,1,197.92
2026-06-02 00:00:00+00:00,197.92,1,197.92
2026-06-03 00:00:00+00:00,197.92,1,197.92
2026-06-04 00:00:00+00:00,197.92,1,197.92
2026-06-05 00:00:00+00:00,197.92,1,197.92
2026-06-08 00:00:00+00:00,182.3,1,197.92
2026-06-09 00:00:00+00:00,182.3,1,197.92
2026-06-10 00:00:00+00:00,182.3,1,197.92
2026-06-11 00:00:00+00:00,182.3,1,197.92
2026-06-12 00:00:00+00:00,182.3,1,197.92
2026-06-15 00:00:00+00:00,182.3,1,197.92
2026-06-16 00:00:00+00:00,182.3,1,197.92
2026-06-17 00:00:00+00:00,164.99,0,197.92
2026-06-18 00:00:00+00:00,164.99,0,197.92
2026-06-22 00:00:00+00:00,164.99,0,197.92
2026-06-23 00:00:00+00:00,164.99,0,197.92
2026-06-24 00:00:00+00:00,164.99,0,197.92
2026-06-25 00:00:00+00:00,164.99,0,197.92
2026-06-26 00:00:00+00:00,164.99,0,197.92
2026-06-29 00:00:00+00:00,164.99,0,197.92
2026-06-30 00:00:00+00:00,164.99,0,197.92
2026-07-01 00:00:00+00:00,164.99,0,197.92
2026-07-02 00:00:00+00:00,164.99,0,197.92
2026-07-06 00:00:00+00:00,164.99,0,197.92
2026-07-07 00:00:00+00:00,164.99,0,197.92
2026-07-08 00:00:00+00:00,164.99,0,197.92
2026-07-09 00:00:00+00:00,164.99,0,197.92
2026-07-10 00:00:00+00:00,164.99,0,197.92
2026-07-13 00:00:00+00:00,164.99,0,197.92
2026-07-14 00:00:00+00:00,164.99,0,197.92
2026-07-15 00:00:00+00:00,164.99,0,197.92
2026-07-16 00:00:00+00:00,164.99,0,197.92
2026-07-17 00:00:00+00:00,164.99,0,197.92
2026-07-20 00:00:00+00:00,164.99,0,197.92
2026-07-21 00:00:00+00:00,164.99,0,197.92
2026-07-22 00:00:00+00:00,164.99,0,197.92
2026-07-23 00:00:00+00:00,164.99,0,197.92
2026-07-24 00:00:00+00:00,164.99,0,197.92
2026-07-27 00:00:00+00:00,164.99,1,197.92
2026-07-28 00:00:00+00:00,164.99,1,197.92
2026-07-29 00:00:00+00:00,151.43,1,197.92
2026-07-30 00:00:00+00:00,169.01,1,197.92
2026-07-31 00:00:00+00:00,169.01,1,197.92
2026-08-03 00:00:00+00:00,169.01,1,197.92
2026-08-04 00:00:00+00:00,169.01,1,197.92
2026-08-05 00:00:00+00:00,169.01,1,197.92
2026-08-06 00:00:00+00:00,169.01,1,197.92
2026-08-07 00:00:00+00:00,169.01,1,197.92
2026-08-10 00:00:00+00:00,169.01,1,197.92
2026-08-11 00:00:00+00:00,169.01,2,197.92
2026-08-12 00:00:00+00:00,162.29,1,197.92
