date,equity,open_positions,peak
2025-11-10 00:00:00+00:00,100.0,0,100.0
2025-11-11 00:00:00+00:00,100.0,0,100.0
2025-11-12 00:00:00+00:00,100.0,0,100.0
2025-11-13 00:00:00+00:00,100.0,0,100.0
2025-11-14 00:00:00+00:00,100.0,0,100.0
2025-11-17 00:00:00+00:00,100.0,0,100.0
2025-11-18 00:00:00+00:00,100.0,0,100.0
2025-11-19 00:00:00+00:00,100.0,0,100.0
2025-11-20 00:00:00+00:00,100.0,0,100.0
2025-11-21 00:00:00+00:00,100.0,0,100.0
2025-11-24 00:00:00+00:00,100.0,0,100.0
2025-11-25 00:00:00+00:00,100.0,0,100.0
2025-11-26 00:00:00+00:00,100.0,0,100.0
2025-11-28 00:00:00+00:00,100.0,0,100.0
2025-12-01 00:00:00+00:00,100.0,0,100.0
2025-12-02 00:00:00+00:00,100.0,0,100.0
2025-12-03 00:00:00+00:00,100.0,0,100.0
2025-12-04 00:00:00+00:00,100.0,0,100.0
2025-12-05 00:00:00+00:00,100.0,0,100.0
2025-12-08 00:00:00+00:00,100.0,0,100.0
2025-12-09 00:00:00+00:00,100.0,0,100.0
2025-12-10 00:00:00+00:00,100.0,0,100.0
2025-12-11 00:00:00+00:00,100.0,0,100.0
2025-12-12 00:00:00+00:00,100.0,0,100.0
2025-12-15 00:00:00+00:00,100.0,0,100.0
2025-12-16 00:00:00+00:00,100.0,0,100.0
2025-12-17 00:00:00+00:00,100.0,0,100.0
2025-12-18 00:00:00+00:00,100.0,0,100.0
2025-12-19 00:00:00+00:00,100.0,0,100.0
2025-12-22 00:00:00+00:00,100.0,0,100.0
2025-12-23 00:00:00+00:00,100.0,0,100.0
2025-12-24 00:00:00+00:00,100.0,0,100.0
2025-12-26 00:00:00+00:00,100.0,0,100.0
2025-12-29 00:00:00+00:00,100.0,0,100.0
2025-12-30 00:00:00+00:00,100.0,0,100.0
2025-12-31 00:00:00+00:00,100.0,0,100.0
2026-01-02 00:00:00+00:00,100.0,0,100.0
2026-01-05 00:00:00+00:00,100.0,0,100.0
2026-01-06 00:00:00+00:00,100.0,0,100.0
2026-01-07 00:00:00+00:00,100.0,0,100.0
2026-01-08 00:00:00+00:00,100.0,0,100.0
2026-01-09 00:00:00+00:00,100.0,0,100.0
2026-01-12 00:00:00+00:00,100.0,0,100.0
2026-01-13 00:00:00+00:00,100.0,0,100.0
2026-01-14 00:00:00+00:00,100.0,1,100.0
2026-01-15 00:00:00+00:00,100.0,2,100.0
2026-01-16 00:00:00+00:00,100.0,2,100.0
2026-01-20 00:00:00+00:00,95.96,1,100.0
2026-01-21 00:00:00+00:00,95.96,1,100.0
2026-01-22 00:00:00+00:00,95.96,1,100.0
2026-01-23 00:00:00+00:00,95.96,2,100.0
2026-01-26 00:00:00+00:00,91.61,1,100.0
2026-01-27 00:00:00+00:00,98.14,1,100.0
2026-01-28 00:00:00+00:00,98.14,1,100.0
2026-01-29 00:00:00+00:00,98.14,1,100.0
2026-01-30 00:00:00+00:00,98.14,1,100.0
2026-02-02 00:00:00+00:00,98.14,1,100.0
2026-02-03 00:00:00+00:00,98.14,1,100.0
2026-02-04 00:00:00+00:00,98.14,1,100.0
2026-02-05 00:00:00+00:00,90.44,0,100.0
2026-02-06 00:00:00+00:00,90.44,0,100.0
2026-02-09 00:00:00+00:00,90.44,0,100.0
2026-02-10 00:00:00+00:00,90.44,0,100.0
2026-02-11 00:00:00+00:00,90.44,0,100.0
2026-02-12 00:00:00+00:00,90.44,0,100.0
2026-02-13 00:00:00+00:00,90.44,0,100.0
2026-02-17 00:00:00+00:00,90.44,0,100.0
2026-02-18 00:00:00+00:00,90.44,0,100.0
2026-02-19 00:00:00+00:00,90.44,1,100.0
2026-02-20 00:00:00+00:00,90.44,1,100.0
2026-02-23 00:00:00+00:00,90.44,1,100.0
2026-02-24 00:00:00+00:00,90.44,1,100.0
2026-02-25 00:00:00+00:00,90.44,1,100.0
2026-02-26 00:00:00+00:00,90.44,1,100.0
2026-02-27 00:00:00+00:00,90.44,1,100.0
2026-03-02 00:00:00+00:00,103.81,1,103.81
2026-03-03 00:00:00+00:00,103.81,1,103.81
2026-03-04 00:00:00+00:00,103.81,1,103.81
2026-03-05 00:00:00+00:00,97.09,1,103.81
2026-03-06 00:00:00+00:00,97.09,1,103.81
2026-03-09 00:00:00+00:00,97.09,1,103.81
2026-03-10 00:00:00+00:00,97.09,1,103.81
2026-03-11 00:00:00+00:00,97.09,1,103.81
2026-03-12 00:00:00+00:00,97.09,2,103.81
2026-03-13 00:00:00+00:00,103.12,2,103.81
2026-03-16 00:00:00+00:00,109.15,1,109.15
2026-03-17 00:00:00+00:00,109.15,2,109.15
2026-03-18 00:00:00+00:00,109.15,2,109.15
2026-03-19 00:00:00+00:00,109.15,2,109.15
2026-03-20 00:00:00+00:00,99.31,1,109.15
2026-03-23 00:00:00+00:00,101.16,1,109.15
2026-03-24 00:00:00+00:00,101.16,2,109.15
2026-03-25 00:00:00+00:00,101.16,2,109.15
2026-03-26 00:00:00+00:00,101.16,2,109.15
2026-03-27 00:00:00+00:00,98.71,1,109.15
2026-03-30 00:00:00+00:00,92.19,0,109.15
