date,equity,open_positions,peak
2026-04-01 00:00:00+00:00,100.0,8,100.0
2026-04-02 00:00:00+00:00,100.0,8,100.0
2026-04-06 00:00:00+00:00,100.0,8,100.0
2026-04-07 00:00:00+00:00,100.0,8,100.0
2026-04-08 00:00:00+00:00,104.55,8,104.55
2026-04-09 00:00:00+00:00,104.55,8,104.55
2026-04-10 00:00:00+00:00,104.55,8,104.55
2026-04-13 00:00:00+00:00,104.55,8,104.55
2026-04-14 00:00:00+00:00,104.55,8,104.55
2026-04-15 00:00:00+00:00,115.4,8,115.4
2026-04-16 00:00:00+00:00,115.4,8,115.4
2026-04-17 00:00:00+00:00,115.4,8,115.4
2026-04-20 00:00:00+00:00,115.4,8,115.4
2026-04-21 00:00:00+00:00,115.4,8,115.4
2026-04-22 00:00:00+00:00,124.58,8,124.58
2026-04-23 00:00:00+00:00,124.58,8,124.58
2026-04-24 00:00:00+00:00,124.58,8,124.58
2026-04-27 00:00:00+00:00,124.58,8,124.58
2026-04-28 00:00:00+00:00,124.58,8,124.58
2026-04-29 00:00:00+00:00,125.24,8,125.24
2026-04-30 00:00:00+00:00,125.24,8,125.24
2026-05-01 00:00:00+00:00,125.24,8,125.24
2026-05-04 00:00:00+00:00,125.24,8,125.24
2026-05-05 00:00:00+00:00,125.24,8,125.24
2026-05-06 00:00:00+00:00,135.61,8,135.61
2026-05-07 00:00:00+00:00,135.61,8,135.61
2026-05-08 00:00:00+00:00,135.61,8,135.61
2026-05-11 00:00:00+00:00,135.61,8,135.61
2026-05-12 00:00:00+00:00,135.61,8,135.61
2026-05-13 00:00:00+00:00,142.61,8,142.61
2026-05-14 00:00:00+00:00,142.61,8,142.61
2026-05-15 00:00:00+00:00,142.61,8,142.61
2026-05-18 00:00:00+00:00,142.61,8,142.61
2026-05-19 00:00:00+00:00,142.61,8,142.61
2026-05-20 00:00:00+00:00,141.33,8,142.61
2026-05-21 00:00:00+00:00,141.33,8,142.61
2026-05-22 00:00:00+00:00,141.33,8,142.61
2026-05-26 00:00:00+00:00,141.33,8,142.61
2026-05-27 00:00:00+00:00,158.6,8,158.6
2026-05-28 00:00:00+00:00,158.6,8,158.6
2026-05-29 00:00:00+00:00,158.6,8,158.6
2026-06-01 00:00:00+00:00,158.6,8,158.6
2026-06-02 00:00:00+00:00,158.6,8,158.6
2026-06-03 00:00:00+00:00,167.56,8,167.56
2026-06-04 00:00:00+00:00,167.56,8,167.56
2026-06-05 00:00:00+00:00,167.56,8,167.56
2026-06-08 00:00:00+00:00,167.56,8,167.56
2026-06-09 00:00:00+00:00,167.56,8,167.56
2026-06-10 00:00:00+00:00,146.19,0,167.56
2026-06-11 00:00:00+00:00,146.19,0,167.56
2026-06-12 00:00:00+00:00,146.19,0,167.56
2026-06-15 00:00:00+00:00,146.19,0,167.56
2026-06-16 00:00:00+00:00,146.19,0,167.56
2026-06-17 00:00:00+00:00,146.19,8,167.56
2026-06-18 00:00:00+00:00,146.19,8,167.56
2026-06-22 00:00:00+00:00,146.19,8,167.56
2026-06-23 00:00:00+00:00,146.19,8,167.56
2026-06-24 00:00:00+00:00,141.36,0,167.56
2026-06-25 00:00:00+00:00,141.36,0,167.56
2026-06-26 00:00:00+00:00,141.36,0,167.56
2026-06-29 00:00:00+00:00,141.36,0,167.56
2026-06-30 00:00:00+00:00,141.36,0,167.56
2026-07-01 00:00:00+00:00,141.36,8,167.56
2026-07-02 00:00:00+00:00,141.36,8,167.56
2026-07-06 00:00:00+00:00,141.36,8,167.56
2026-07-07 00:00:00+00:00,141.36,8,167.56
2026-07-08 00:00:00+00:00,134.62,8,167.56
2026-07-09 00:00:00+00:00,134.62,8,167.56
2026-07-10 00:00:00+00:00,134.62,8,167.56
2026-07-13 00:00:00+00:00,134.62,8,167.56
2026-07-14 00:00:00+00:00,134.62,8,167.56
2026-07-15 00:00:00+00:00,134.88,8,167.56
2026-07-16 00:00:00+00:00,134.88,8,167.56
2026-07-17 00:00:00+00:00,126.69,0,167.56
2026-07-20 00:00:00+00:00,126.69,0,167.56
2026-07-21 00:00:00+00:00,126.69,0,167.56
2026-07-22 00:00:00+00:00,126.69,0,167.56
2026-07-23 00:00:00+00:00,126.69,0,167.56
2026-07-24 00:00:00+00:00,126.69,0,167.56
2026-07-27 00:00:00+00:00,126.69,0,167.56
2026-07-28 00:00:00+00:00,126.69,0,167.56
2026-07-29 00:00:00+00:00,126.69,0,167.56
2026-07-30 00:00:00+00:00,126.69,0,167.56
2026-07-31 00:00:00+00:00,126.69,0,167.56
2026-08-03 00:00:00+00:00,126.69,0,167.56
2026-08-04 00:00:00+00:00,126.69,0,167.56
2026-08-05 00:00:00+00:00,126.69,0,167.56
2026-08-06 00:00:00+00:00,126.69,0,167.56
2026-08-07 00:00:00+00:00,126.69,8,167.56
2026-08-10 00:00:00+00:00,126.69,8,167.56
2026-08-11 00:00:00+00:00,126.69,8,167.56
2026-08-12 00:00:00+00:00,126.69,8,167.56
